count,HR,DY,pas_count,avg_trip_dist,avg_trip_time
31224,22,2013-07-12,1.8028759928260312,2.82250128106585,731.7438508839355
19231,22,2013-07-14,1.751338983932193,3.4443757474910313,690.840725911289
30828,20,2013-07-12,1.7593421564811211,2.4696438302841504,709.1904113143895
27173,8,2013-07-11,1.6140654325985353,2.5091436352261454,808.5254480550547
23699,17,2013-07-13,1.8164057555171105,2.724630575129755,746.2011899236255
20662,14,2013-07-07,1.7911625205691608,3.289757525892945,706.1175104055754
26497,15,2013-11-02,1.7833339623353588,2.6912608974600936,756.1166924557497
13829,3,2013-11-01,1.7819798973172318,3.598598597150906,705.8482175139201
27300,8,2013-11-01,1.6176923076923078,2.4322300366300356,865.6752380952381
13989,23,2013-11-03,1.7027664593609264,3.589973550646939,623.7833297590964
12985,2,2013-07-04,1.770119368502118,3.1895117443203707,608.1099730458221
20961,11,2013-07-02,1.6934783645818425,2.510219455178663,810.119555364725
24962,9,2013-07-02,1.6542744972357983,2.3804354619020938,809.2465347327939
17810,7,2013-07-03,1.5958450308815273,2.7235670971364376,632.5660303200449
22978,17,2013-01-27,1.748759683175211,2.908491165462616,765.5106188528157
24779,17,2013-01-28,1.696557568909157,2.607309818798172,730.5842447233545
25502,15,2013-01-31,1.691475178417379,2.832205317230011,807.6993569131832
11007,4,2013-11-16,1.7759607522485692,3.8429517579721986,688.4878713545926
16388,3,2013-09-14,1.8000976324139615,3.318941908713692,673.5843299975592
24261,14,2013-09-15,1.7484027863649478,3.117223939656236,825.7899509500845
25594,12,2013-09-11,1.6825818551222942,2.473518402750643,898.724818316793
32464,19,2013-09-10,1.6816781665845244,2.5482460571710175,750.7881037456875
31319,23,2013-09-13,1.811424374980044,3.0347616462850007,763.9620358248986
19550,16,2013-09-09,1.709616368286445,3.151681329923274,908.9614833759591
32703,19,2013-09-13,1.7237562303152616,2.586009540409137,739.546004953674
12438,6,2013-09-09,1.5546711689982313,3.5841148094548876,625.1673098568901
23598,15,2013-09-14,1.7809560132214595,2.7840418679549073,747.1136960759386
7286,1,2013-09-10,1.6372495196266814,3.2297804007686017,614.9840790557233
24360,12,2013-09-13,1.6578817733990148,2.792994252873563,922.2628899835796
24200,13,2013-09-15,1.7469834710743801,3.130903305785118,808.0451652892561
12475,0,2013-11-06,1.681442885771543,3.251372344689376,643.616993987976
22571,13,2013-11-06,1.6592087191528953,2.8545788844091975,948.4489832085419
24074,14,2013-11-07,1.6938190579047936,2.983291102434162,1150.4128935781341
34468,22,2013-11-08,1.7781420447951723,2.898035279099458,740.4705233840084
18826,16,2013-11-05,1.691384255816424,3.064136300860513,855.9952193774567
24150,17,2013-11-09,1.8016149068322982,2.6898824016563134,857.0561904761905
27940,8,2013-11-07,1.6170007158196134,2.428737652111669,822.0361488904796
23327,17,2013-10-30,1.6804561238050328,2.766246409739786,893.708920992841
23539,10,2013-10-04,1.6436552105017206,2.626162963592339,830.0561196312502
12100,6,2013-10-03,1.538181818181818,3.30349173553719,607.8015702479339
24679,23,2013-10-30,1.6913165039102072,3.369390169779968,723.8422950686819
24993,10,2013-03-06,1.6303364942183811,2.405648781658866,788.0992677949826
26023,12,2013-03-07,1.6456596088075932,2.5115163509203433,744.8201590900358
24023,22,2013-03-04,1.690088665029347,3.2617121092286494,637.0461640927444
21946,16,2013-03-07,1.6818554634101885,2.7119675567301584,778.9566207965005
27073,12,2013-03-09,1.7350496804934805,2.4723950060946285,699.8554648542829
33160,0,2013-03-10,1.8331423401688782,2.889468636911948,756.3610675512666
6046,6,2013-03-10,1.6668871981475355,4.4556351306649,661.7049288785975
20952,13,2013-08-27,1.6880488736158838,2.818180603283694,792.885166093929
20889,15,2013-08-27,1.714825984968165,2.98923165302312,838.6546029010484
16514,16,2013-08-29,1.716725202858181,3.354862540874407,997.9983650236163
21243,14,2013-08-28,1.6867674057336535,2.804239514192913,898.6052817398672
18337,10,2013-08-26,1.6738288705895186,5.787228008943667,769.9157441239025
10115,0,2013-08-27,1.6990608007909045,3.638500247157688,658.8335145823036
9423,12,2013-08-11,2.1477236548869785,3.1907863737663136,753.2161731932506
29601,20,2013-12-03,1.678152765109287,2.84707205837641,704.4844093104963
19542,15,2013-12-26,1.8191587350322382,2.850000511718349,789.8702793982192
22736,15,2013-12-09,1.6866643209007741,3.0553061224489815,867.434245249824
23130,10,2013-12-04,1.6175529615218331,2.5820518806744515,917.2015564202335
